intervention,admin_2,mean_impact,min_impact,max_impact,rank
SMC,Butiama District Council,318.127286009628,9.23392297906372,2932.89541673216,10
LSM,Bunda District Council,315.587666621796,4.7027872112462,5019.181390207,5
LSM,Mbulu Town Council,310.550938817979,3.3470087003428,4328.191056848,6
IPTSc,Shinyanga Municipal Council,305.740699986581,4.26499442852754,3946.96193948821,9
Vaccine,Shinyanga Municipal Council,305.740699986581,4.26499442852754,3946.96193948821,9
IG2_Nets,Butiama District Council,293.105439857205,7.34944890170382,2723.40288696557,10
PMC,Butiama District Council,274.211731869347,7.91479112491176,2513.91035719899,10
PBO_Nets,Butiama District Council,261.89271076127,6.78410667849584,2513.91035719899,10
IRS,Butiama District Council,234.93077934284,6.59565927075982,2618.65662208228,10
STD_Nets,Butiama District Council,202.919150670373,5.08808000887189,1885.43276789924,10
Vaccine,Butiama District Council,172.298117171956,3.95739556245587,2094.92529766583,10
IPTSc,Butiama District Council,172.1582062871,3.95739556245587,2094.92529766583,10
LSM,Morogoro Municipal Council,52.987833481148,1.06857564509982,687.95989594585,7
LSM,Chunya District Council,51.3203610654672,0.411312284304541,846.4069402133,8
LSM,Shinyanga Municipal Council,47.8988851725589,0.473888269836389,789.39238789764,9
LSM,Butiama District Council,27.0519639074553,0.43971061805065,418.98505953317,10
